run_name,seed,total_timesteps,best_cycle_length,best_avg_reward,model_path,result_path
ppo_3ball_steps300000_seed0,0,300000,22,0.7774415034488846,ppo_3ball_runs/models/ppo_3ball_steps300000_seed0.zip,ppo_3ball_runs/results/ppo_3ball_steps300000_seed0.npy
ppo_3ball_steps300000_seed1,1,300000,22,0.7871258080945395,ppo_3ball_runs/models/ppo_3ball_steps300000_seed1.zip,ppo_3ball_runs/results/ppo_3ball_steps300000_seed1.npy
ppo_3ball_steps300000_seed2,2,300000,22,0.7490105013052211,ppo_3ball_runs/models/ppo_3ball_steps300000_seed2.zip,ppo_3ball_runs/results/ppo_3ball_steps300000_seed2.npy
ppo_3ball_steps1000000_seed0,0,1000000,22,0.7805369324569035,ppo_3ball_runs/models/ppo_3ball_steps1000000_seed0.zip,ppo_3ball_runs/results/ppo_3ball_steps1000000_seed0.npy
ppo_3ball_steps1000000_seed1,1,1000000,23,0.7729391802175748,ppo_3ball_runs/models/ppo_3ball_steps1000000_seed1.zip,ppo_3ball_runs/results/ppo_3ball_steps1000000_seed1.npy
ppo_3ball_steps1000000_seed2,2,1000000,22,0.7482372315305963,ppo_3ball_runs/models/ppo_3ball_steps1000000_seed2.zip,ppo_3ball_runs/results/ppo_3ball_steps1000000_seed2.npy
