label,path,policy_hash,episode_rewards_hash,episode_lengths_hash,loss_history_hash,q_means_hash
run1,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/dqn_cilia_2_ball_results_01.npy,5acd7833db150caa71433423195ba20936613cafaf78dd503d0ddfdf75bf62d2,3063fcd592d75e0cf872084101e04a24fec739289039c5f64276e7dc6fcf4d0a,f1e27f578562412c9692f85fea916341e9b52591a2a5610a4ec47f9f77eb5114,6701818d10bff830fce04bb7eb11b95df8d4099be64b8ac6ef08262765ccc07e,fd74a2faba84584f70dbb3a089bc8074c3b58d6552f28e89aa5a3ade33076fa4
run2,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/dqn_cilia_2_ball_results_02.npy,5acd7833db150caa71433423195ba20936613cafaf78dd503d0ddfdf75bf62d2,3063fcd592d75e0cf872084101e04a24fec739289039c5f64276e7dc6fcf4d0a,f1e27f578562412c9692f85fea916341e9b52591a2a5610a4ec47f9f77eb5114,6701818d10bff830fce04bb7eb11b95df8d4099be64b8ac6ef08262765ccc07e,fd74a2faba84584f70dbb3a089bc8074c3b58d6552f28e89aa5a3ade33076fa4
run3,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/dqn_cilia_2_ball_results_03.npy,5acd7833db150caa71433423195ba20936613cafaf78dd503d0ddfdf75bf62d2,3063fcd592d75e0cf872084101e04a24fec739289039c5f64276e7dc6fcf4d0a,f1e27f578562412c9692f85fea916341e9b52591a2a5610a4ec47f9f77eb5114,6701818d10bff830fce04bb7eb11b95df8d4099be64b8ac6ef08262765ccc07e,fd74a2faba84584f70dbb3a089bc8074c3b58d6552f28e89aa5a3ade33076fa4
run4,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/dqn_cilia_2_ball_results_04.npy,5acd7833db150caa71433423195ba20936613cafaf78dd503d0ddfdf75bf62d2,3063fcd592d75e0cf872084101e04a24fec739289039c5f64276e7dc6fcf4d0a,f1e27f578562412c9692f85fea916341e9b52591a2a5610a4ec47f9f77eb5114,6701818d10bff830fce04bb7eb11b95df8d4099be64b8ac6ef08262765ccc07e,fd74a2faba84584f70dbb3a089bc8074c3b58d6552f28e89aa5a3ade33076fa4
