gamma,cycle_length,avg_reward,disc_best,disc_mean,vi_iters,final_err,converged
0.9,4,0.03983953737296536,1.341230222638675,0.3983953737296536,192,9.99875737761613e-11,True
0.95,13,0.167037161325777,8.864154981041207,3.3407432265155355,402,9.877965112536913e-11,True
0.98,19,0.28647195459787067,27.074378788172503,14.323597729893523,1070,9.984546522900928e-11,True
0.99,24,0.3763941823558153,57.05450678771846,37.639418235581495,2190,9.985257065636688e-11,True
0.992,25,0.3895922329463929,69.21642168859387,48.69902911829906,2747,9.947598300641403e-11,True
0.995,26,0.3929864530895069,98.6186444598664,78.59729061790131,4407,9.980283266486367e-11,True
0.997,26,0.3981141893220465,153.52439060970886,132.70472977401545,7343,9.987388693843968e-11,True
0.999,25,0.39890840250742426,419.13395109637355,398.9084025074233,22221,9.99875737761613e-11,True
