nballs,dtheta_label,seed,timesteps,mean_reward,cycle_length,rho,area,noop_fraction,arm,source,howard_gain_from_summary,howard_L_from_summary,rho_eff,area_eff,mean_reward_eff,cycle_length_eff,howard_gain,howard_L,recovery_pct
3,pi30,6,1000000,0.4625443505827152,28,36.7969451374647,0.3519651364517691,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N3_dtheta_pi30/seed_006/summary.json,0.5394214790584808,35.0,36.7969451374647,0.3519651364517691,0.4625443505827152,28.0,0.5394214790584808,35,85.74822630163915
3,pi30,7,1000000,0.49574433706005083,30,36.52723589732745,0.4071572826809398,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N3_dtheta_pi30/seed_007/summary.json,0.5394214790584808,35.0,36.52723589732745,0.4071572826809398,0.4957443370600508,30.0,0.5394214790584808,35,91.90296573383301
3,pi30,8,1000000,0.4970809884961135,30,36.58061742676305,0.4076593208066848,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N3_dtheta_pi30/seed_008/summary.json,0.5394214790584808,35.0,36.58061742676305,0.4076593208066848,0.4970809884961135,30.0,0.5394214790584808,35,92.15075924743125
3,pi30,9,1000000,0.4902011874427924,31,36.01893354768205,0.4218958007351802,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N3_dtheta_pi30/seed_009/summary.json,0.5394214790584808,35.0,36.01893354768205,0.4218958007351802,0.4902011874427924,31.0,0.5394214790584808,35,90.87535563070297
4,pi20,0,1000000,1.1861075779338621,20,43.219388315453486,0.5488775404578128,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi20/seed_000/summary.json,1.239866508687157,21.0,43.219388315453486,0.5488775404578128,1.186107577933862,20.0,1.239866508687157,21,95.66413558422366
4,pi20,1,1000000,1.119447816759888,19,42.78875577651867,0.497081724683147,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi20/seed_001/summary.json,1.239866508687157,21.0,42.78875577651867,0.497081724683147,1.119447816759888,19.0,1.239866508687157,21,90.28776960394106
4,pi20,2,1000000,1.1303680411548571,18,42.91764763031729,0.4740852741056209,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi20/seed_002/summary.json,1.239866508687157,21.0,42.91764763031729,0.4740852741056209,1.1303680411548571,18.0,1.239866508687157,21,91.16852767898027
4,pi20,3,1000000,1.145385597283724,19,43.720898645247814,0.4977556963083187,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi20/seed_003/summary.json,1.239866508687157,21.0,43.720898645247814,0.4977556963083187,1.145385597283724,19.0,1.239866508687157,21,92.37975130859249
4,pi20,4,1000000,1.1692393560159526,20,43.46929752875701,0.5379610081080538,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi20/seed_004/summary.json,1.239866508687157,21.0,43.46929752875701,0.5379610081080538,1.1692393560159526,20.0,1.239866508687157,21,94.30364864472479
4,pi20,5,1000000,1.180392641428201,20,40.91834258126521,0.5769503684485273,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi20/seed_005/summary.json,1.239866508687157,21.0,40.91834258126521,0.5769503684485273,1.180392641428201,20.0,1.239866508687157,21,95.20320398669932
4,pi20,6,1000000,1.188510520121323,20,40.2826153229486,0.5900860758880472,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi20/seed_006/summary.json,1.239866508687157,21.0,40.2826153229486,0.5900860758880472,1.188510520121323,20.0,1.239866508687157,21,95.8579421086055
4,pi20,7,1000000,1.171590380754767,20,41.65262071057782,0.5625530210430373,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi20/seed_007/summary.json,1.239866508687157,21.0,41.65262071057782,0.5625530210430373,1.171590380754767,20.0,1.239866508687157,21,94.49326782730145
4,pi20,8,1000000,1.0861837687809188,18,45.330841796569935,0.4313025539167449,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi20/seed_008/summary.json,1.239866508687157,21.0,45.330841796569935,0.4313025539167449,1.0861837687809188,18.0,1.239866508687157,21,87.60489626669839
4,pi20,9,1000000,1.1714426744042445,38,43.16831637491221,1.0311919798019185,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi20/seed_009/summary.json,1.239866508687157,21.0,43.16831637491221,1.0311919798019185,1.1714426744042443,38.0,1.239866508687157,21,94.48135474234532
4,pi30,0,1000000,0.7283279672954297,26,44.666592624338776,0.4239528031373201,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi30/seed_000/summary.json,0.8313385063254675,33.0,44.666592624338776,0.4239528031373201,0.7283279672954297,26.0,0.8313385063254675,33,87.60907401181903
4,pi30,1,1000000,0.7175002625180877,26,42.74494031534712,0.4364260819606852,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi30/seed_001/summary.json,0.8313385063254675,33.0,42.74494031534712,0.4364260819606852,0.7175002625180877,26.0,0.8313385063254675,33,86.3066316619271
4,pi30,2,1000000,0.7535395677531154,28,42.73720255985224,0.4936941735374122,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi30/seed_002/summary.json,0.8313385063254675,33.0,42.73720255985224,0.4936941735374122,0.7535395677531154,28.0,0.8313385063254675,33,90.64172560510579
4,pi30,3,1000000,0.7608906683817247,28,40.99625164018125,0.5196801625104401,,monolithic,/Users/bthomases/Documents/Student_Projects/RL_cilia/RL_cilia_python/phase4_Nball_exploration/results/ppo_sweeps_general/N4_dtheta_pi30/seed_003/summary.json,0.8313385063254675,33.0,40.99625164018125,0.5196801625104401,0.7608906683817247,28.0,0.8313385063254675,33,91.52597438856482
